ID,Education,Income,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response,Dt_Cus_weekday,Dt_Cus_month,Dt_Cus_quarter,Dt_Cus_year,Membership_day,Total_children,Total_Mnt,Total_purchases,Total_accepted_cpm,Living_Status,Family_size,Age,Cluster No.
4939,Graduation,37760.0,20,84,5,38,150,12,28,2,4,1,6,7,0,0,0,0,0,0,0,4,8,3,2012,827,0,317,13,0,Together,2,68,1
6565,Master,76995.0,91,1012,80,498,0,16,176,2,11,4,9,5,0,0,0,1,0,0,0,3,3,1,2013,618,1,1782,26,1,Together,3,65,2
2278,2n Cycle,33812.0,86,4,17,19,30,24,39,2,2,1,3,6,0,0,0,0,0,0,0,6,3,1,2012,1000,1,133,8,0,Single,2,29,4
9360,Graduation,37040.0,41,86,2,73,69,38,48,1,4,2,5,8,0,0,0,0,0,0,0,2,8,3,2012,850,0,316,12,0,Together,2,32,1
5376,Graduation,2447.0,42,1,1,1725,1,1,1,15,0,28,0,1,0,0,0,0,0,0,0,5,6,2,2013,553,1,1730,43,0,Together,3,35,2
1993,PhD,58607.0,63,867,0,86,0,0,19,3,2,3,9,8,0,1,0,0,0,0,0,6,12,4,2012,713,1,972,17,1,Together,3,65,1
4047,PhD,65324.0,0,384,0,102,21,32,5,3,6,2,9,4,0,0,0,0,0,0,0,5,11,4,2014,35,1,544,20,0,Together,3,60,1
1409,Graduation,40689.0,69,270,3,27,39,6,99,7,7,1,5,8,0,0,0,0,0,0,0,0,3,1,2013,628,1,444,20,0,Together,3,63,1
7892,Graduation,18589.0,89,6,4,25,15,12,13,2,2,1,3,7,0,0,0,0,0,0,0,4,2,1,2013,673,0,75,8,0,Single,1,45,4
2404,Graduation,53359.0,4,173,4,30,3,6,41,4,5,1,4,7,0,0,0,0,0,0,0,0,5,2,2013,558,2,257,14,0,Together,4,38,3
5255,Graduation,51381.5,19,5,1,3,3,263,362,0,27,0,0,1,0,0,0,0,0,0,0,2,2,1,2013,654,1,637,27,0,Single,2,28,2
9422,Graduation,38360.0,26,36,2,42,20,21,10,2,2,1,4,3,0,0,0,0,0,0,0,4,5,2,2013,554,1,131,9,0,Together,3,25,3
1966,PhD,84618.0,96,684,100,801,21,66,0,1,6,9,10,2,0,0,1,0,0,0,0,4,11,4,2013,379,0,1672,26,1,Together,2,49,0
6864,Master,10979.0,34,8,4,10,2,2,4,2,3,0,3,5,0,0,0,0,0,0,0,3,5,2,2014,198,0,30,8,0,Single,1,25,4
3033,Master,38620.0,56,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,0,1,11,4,2013,396,0,318,11,0,Together,2,51,4
5710,Graduation,40548.0,31,110,0,5,2,0,3,2,2,1,4,5,0,1,0,0,0,0,0,2,10,4,2012,787,1,120,9,1,Together,3,44,3
7373,PhD,46610.0,8,96,12,96,33,22,43,6,4,1,6,6,0,0,0,0,0,0,1,0,10,4,2012,768,2,302,17,1,Single,3,62,1
8755,Master,68657.0,4,482,34,471,119,68,22,1,3,5,9,7,0,0,0,0,0,0,0,2,2,1,2013,654,0,1196,18,0,Together,2,68,2
10738,Master,49389.0,55,40,0,19,2,1,3,1,2,0,3,7,0,0,0,0,0,0,0,3,8,3,2013,464,2,65,6,0,Single,3,63,4
4339,PhD,67353.0,37,702,17,151,0,8,35,5,5,6,12,2,0,0,0,0,0,0,0,1,12,4,2013,340,1,913,28,0,Together,3,44,1
10755,2n Cycle,23718.0,76,6,3,14,15,7,36,3,3,1,2,7,0,0,0,0,0,0,0,5,2,1,2013,665,1,81,9,0,Together,3,38,3
8595,Graduation,42429.0,99,55,0,6,2,0,4,2,1,1,3,5,0,0,0,0,0,0,0,6,11,4,2014,34,1,67,7,0,Single,2,41,4
2968,PhD,48948.0,53,437,8,206,160,49,42,2,7,10,5,6,1,0,0,0,0,0,1,2,1,1,2013,703,0,902,24,2,Single,1,71,0
8601,Graduation,80011.0,3,421,76,536,82,178,102,2,8,6,5,4,0,0,0,0,0,0,0,0,4,2,2013,586,1,1395,21,0,Together,3,34,2
503,Master,20559.0,88,13,1,29,3,0,7,2,2,0,3,8,0,0,0,0,0,0,0,1,12,4,2013,368,1,53,7,0,Together,3,29,3
8430,Graduation,21994.0,4,9,0,6,3,1,3,1,0,0,3,5,0,0,0,0,0,0,0,0,12,4,2012,712,1,22,4,0,Together,3,57,3
7281,PhD,51381.5,80,81,11,50,3,2,39,1,1,3,4,2,0,0,0,0,0,0,0,5,5,2,2013,574,0,186,9,0,Single,1,55,4
2139,Master,7500.0,19,3,1,10,3,2,12,3,2,0,3,5,0,0,0,0,0,0,0,6,2,1,2013,664,1,31,8,0,Together,3,39,3
1371,Graduation,79941.0,72,123,164,266,227,30,174,1,2,4,9,1,0,0,0,0,0,0,0,5,6,2,2014,161,0,984,16,0,Single,1,38,0
9909,2n Cycle,7500.0,24,3,18,14,15,22,50,3,3,1,3,9,0,0,0,0,0,0,1,1,9,3,2012,816,0,122,10,1,Together,2,18,3
7286,Graduation,41728.0,92,13,6,15,3,5,13,1,2,0,2,10,0,0,0,0,0,0,0,4,5,2,2013,561,1,55,5,0,Together,3,46,3
7244,Graduation,51381.5,96,48,5,48,6,10,7,3,2,1,4,6,0,0,0,0,0,0,0,2,1,1,2014,339,3,124,10,0,Single,4,63,3
6566,PhD,72550.0,39,826,50,317,50,38,38,9,5,2,12,8,0,0,0,0,0,0,0,5,8,3,2012,847,2,1319,28,0,Together,4,60,1
8614,Graduation,65486.0,29,245,19,125,37,67,14,1,4,2,10,2,0,0,0,0,0,0,0,4,12,4,2014,1,1,507,17,0,Single,2,57,4
4114,Master,79143.0,2,650,37,780,27,167,32,1,6,9,13,3,0,0,0,0,0,0,0,3,11,4,2012,758,0,1693,29,0,Together,2,50,2
1331,Graduation,35790.0,54,12,6,20,30,1,3,2,2,0,3,7,0,0,0,0,0,0,0,4,2,1,2013,673,1,72,7,0,Single,2,37,4
2225,Graduation,82582.0,54,510,120,550,156,40,241,1,4,9,7,1,1,0,0,1,0,0,1,6,7,3,2014,153,0,1617,21,3,Single,1,37,0
9381,Graduation,66373.0,57,328,9,124,12,24,109,7,4,2,10,3,0,0,0,0,0,0,0,4,12,4,2013,365,2,606,23,0,Together,4,36,1
6260,Master,82384.0,55,984,51,432,180,120,190,1,3,10,13,1,0,0,1,0,0,0,1,0,11,4,2012,747,0,1957,27,2,Together,2,59,0
10383,Graduation,70287.0,30,295,35,482,121,120,40,1,5,5,10,3,0,0,0,0,0,0,1,0,2,1,2013,670,0,1093,21,1,Single,1,48,0
7437,Graduation,27938.0,31,13,0,8,2,1,5,1,1,0,4,3,0,0,0,0,0,0,0,0,4,2,2014,222,1,29,6,0,Single,2,26,4
8557,Graduation,51381.5,57,11,3,22,2,2,6,2,2,0,3,6,0,0,0,0,0,0,0,0,6,2,2013,537,1,46,7,0,Single,2,32,4
8375,PhD,55954.0,63,447,0,28,0,0,43,3,8,2,6,7,0,0,0,0,0,0,0,0,3,1,2014,278,1,518,19,0,Together,3,46,1
6853,Master,75777.0,12,712,26,538,69,13,80,1,3,6,11,1,0,1,1,0,0,0,1,6,4,2,2013,608,0,1438,21,3,Single,1,32,0
3076,Graduation,66653.0,18,452,18,102,16,18,6,4,4,2,12,3,0,0,0,0,0,0,0,0,7,3,2012,880,2,612,22,0,Together,4,39,1
1012,Graduation,61823.0,26,523,7,134,37,14,169,4,8,2,10,7,0,0,0,0,0,0,0,0,2,1,2013,656,1,884,24,0,Single,2,62,2
6518,PhD,67680.0,8,546,0,48,0,6,6,1,7,3,8,5,0,0,0,0,0,0,0,2,11,4,2013,395,1,606,19,0,Single,2,63,1
4137,Graduation,70666.0,29,398,40,367,119,122,30,1,7,4,4,4,0,0,0,0,0,0,0,2,6,2,2013,542,0,1076,16,0,Together,2,66,2
8082,Graduation,25721.0,75,1,3,6,3,6,15,1,1,1,2,7,0,0,0,0,0,0,1,1,5,2,2013,564,1,34,5,1,Together,3,43,4
1386,Graduation,32474.0,0,10,0,1,0,0,0,1,1,0,2,7,0,0,0,0,0,0,0,2,11,4,2014,31,2,11,4,0,Together,4,47,3
9369,2n Cycle,88194.0,19,688,14,309,201,24,38,1,11,10,10,5,1,0,0,1,0,0,1,2,3,1,2014,262,1,1274,32,3,Single,2,35,0
4477,Graduation,69096.0,4,247,49,159,7,82,109,1,5,2,10,4,0,0,0,0,0,0,0,4,9,3,2013,435,1,653,18,0,Together,3,56,1
1357,Graduation,74854.0,90,856,59,487,58,29,73,7,2,5,5,5,0,0,0,0,0,0,0,6,8,3,2013,489,3,1562,19,0,Together,5,44,1
1402,Master,66991.0,1,496,36,460,189,60,12,3,4,8,6,3,0,0,0,0,0,0,0,4,11,4,2012,757,0,1253,21,0,Together,2,60,2
10629,2n Cycle,51381.5,25,25,3,43,17,4,17,3,3,0,3,8,0,0,0,0,0,0,0,4,9,3,2012,813,1,109,9,0,Together,3,41,3
6312,Graduation,65031.0,29,258,107,291,84,37,86,4,10,3,13,7,0,0,0,0,0,0,0,6,3,1,2013,629,1,863,30,0,Together,3,55,2
8132,PhD,60631.0,88,565,6,65,0,6,19,5,9,2,8,7,0,1,0,0,0,0,0,5,5,2,2013,581,2,661,24,1,Together,4,39,1
1050,Graduation,28332.0,58,14,10,13,4,15,9,1,2,1,4,2,0,0,0,0,0,0,0,2,4,2,2014,220,0,65,8,0,Together,2,62,4
5846,Graduation,40246.0,68,2,1,6,2,1,1,1,1,0,2,6,0,0,0,0,0,0,0,2,12,4,2012,717,1,13,4,0,Single,2,37,4
1859,Master,75251.0,34,721,111,925,97,18,18,1,7,6,5,5,0,0,0,0,0,0,1,0,8,3,2012,831,0,1890,19,1,Together,2,42,2
7503,Graduation,75825.0,40,1032,105,779,137,105,51,0,5,8,9,4,1,0,0,0,0,0,1,0,12,4,2012,726,0,2209,22,2,Single,1,38,0
10401,2n Cycle,26326.0,12,1,0,5,0,3,9,1,0,0,3,3,0,0,0,0,0,1,0,1,4,2,2013,606,0,18,4,0,Together,2,38,4
1618,Graduation,56046.0,9,577,0,64,0,0,51,2,10,1,8,8,1,0,0,0,0,0,1,4,2,1,2013,673,0,692,21,2,Together,2,49,2
3332,Graduation,29760.0,87,64,4,68,7,5,17,4,3,1,4,8,0,0,0,0,0,0,0,2,8,3,2012,829,1,165,12,0,Single,2,29,3
2261,Graduation,26304.0,5,4,1,5,2,0,4,1,1,0,2,7,0,0,0,0,0,0,0,6,6,2,2013,531,1,16,4,0,Together,3,45,3
5346,2n Cycle,23559.0,87,25,5,19,7,0,23,3,3,0,3,7,0,0,0,0,0,0,0,3,3,1,2013,639,1,79,9,0,Together,3,41,3
4119,Master,38620.0,56,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,0,1,11,4,2013,396,0,318,11,0,Together,2,51,4
535,Graduation,81361.0,18,163,23,424,27,65,76,1,3,10,13,1,0,0,0,0,0,0,0,1,2,1,2014,284,0,778,27,0,Single,1,27,0
5268,Graduation,29440.0,95,17,8,14,10,4,3,2,1,0,4,7,0,0,0,0,0,0,0,4,11,4,2013,393,2,56,7,0,Together,4,54,3
273,Master,36138.0,48,130,0,16,0,0,5,5,3,1,4,7,0,1,0,0,0,0,0,1,7,3,2013,508,2,151,13,1,Together,4,44,3
4452,Graduation,50388.0,3,292,6,37,0,3,34,4,6,1,6,7,0,1,0,1,0,0,1,2,5,2,2014,192,1,372,17,3,Single,2,57,4
8504,Graduation,79593.0,70,350,60,568,110,133,145,1,5,6,7,2,0,0,1,0,0,0,0,4,12,4,2014,1,0,1366,19,1,Together,2,41,0
771,Graduation,54178.0,79,135,9,39,4,0,7,1,2,2,5,2,0,0,0,0,0,0,0,1,1,1,2014,319,1,194,10,0,Together,3,47,4
8996,PhD,51381.5,4,230,42,192,49,37,53,12,7,2,8,9,0,0,0,0,0,0,0,0,11,4,2012,747,3,603,29,0,Together,5,57,1
9235,Graduation,51381.5,45,7,0,8,2,0,1,1,1,0,2,7,0,0,0,0,0,0,0,1,5,2,2014,193,2,18,4,0,Single,3,57,4
5798,Master,51381.5,87,445,37,359,98,28,18,1,2,4,8,1,0,0,0,0,0,0,0,5,11,4,2013,378,0,985,15,0,Together,2,41,2
11178,Master,42394.0,69,15,2,10,0,1,4,1,1,0,3,7,0,0,0,0,0,0,0,6,3,1,2014,258,1,32,5,0,Single,2,42,4
2230,PhD,23626.0,84,27,2,14,0,0,0,3,3,1,3,5,0,0,0,0,0,0,0,5,5,2,2014,196,1,43,10,0,Together,3,44,3
7516,Graduation,30096.0,30,5,3,11,12,5,9,1,2,0,3,6,0,0,0,0,0,0,0,3,5,2,2014,198,1,45,6,0,Together,3,31,4
7247,Graduation,47916.0,72,505,0,26,0,0,75,5,7,4,6,6,0,1,0,0,0,0,0,3,11,4,2012,744,1,606,22,1,Single,2,54,1
11100,Graduation,51813.0,37,51,2,7,0,1,2,2,2,0,3,7,0,0,0,0,0,0,0,0,11,4,2013,397,2,63,7,0,Single,3,42,3
4646,2n Cycle,78497.0,44,207,26,447,75,0,223,1,5,7,12,2,0,0,0,1,0,0,0,5,1,1,2013,693,0,978,25,1,Together,2,63,2
3037,PhD,50150.0,32,135,46,92,65,61,11,2,5,2,7,5,0,0,0,0,0,0,0,3,6,2,2013,534,0,410,16,0,Together,2,31,1
1473,2n Cycle,47823.0,0,53,1,5,2,1,10,2,2,0,3,8,0,0,0,0,0,0,0,1,7,3,2013,501,1,72,7,0,Single,2,54,4
1016,PhD,34554.0,43,41,1,6,2,0,5,2,2,0,3,6,0,0,0,0,0,0,0,6,3,1,2014,251,1,55,7,0,Single,2,55,4
4518,Graduation,85693.0,59,386,172,183,185,132,111,2,9,5,11,5,0,0,0,0,0,0,0,5,4,2,2013,595,1,1169,27,0,Together,3,35,2
9370,PhD,65846.0,68,562,81,276,80,40,81,1,6,3,6,4,0,0,0,0,0,0,0,4,5,2,2013,568,0,1120,16,0,Together,2,69,2
8908,Graduation,87195.0,35,217,76,690,50,26,38,1,3,11,5,1,0,0,0,0,0,0,1,1,8,3,2014,123,0,1097,20,1,Together,2,55,0
8373,Basic,24594.0,94,1,3,6,10,0,9,1,1,0,3,5,0,0,0,0,0,0,0,5,10,4,2013,420,1,29,5,0,Together,3,35,3
7533,Graduation,49096.0,15,144,1,32,2,1,7,4,4,1,4,7,0,0,0,0,0,0,0,1,9,3,2013,438,2,187,13,0,Together,4,50,3
2683,Graduation,52413.0,56,295,106,271,75,98,65,4,6,4,12,6,0,0,0,0,0,0,0,5,2,1,2013,672,2,910,26,0,Together,4,45,1
3629,Graduation,38557.0,17,76,3,31,4,4,27,2,3,1,3,7,0,0,0,0,0,0,0,2,12,4,2012,717,1,145,9,0,Single,2,36,4
10991,Master,89058.0,18,454,194,106,31,22,43,1,5,4,4,2,0,0,0,0,0,0,0,3,7,3,2012,877,0,850,14,0,Together,2,54,2
5077,Graduation,77298.0,46,425,115,292,23,35,79,1,6,6,11,3,0,0,0,0,0,0,0,0,2,1,2013,663,1,969,24,0,Together,3,35,2
7431,PhD,68126.0,40,1332,17,311,23,51,86,1,7,4,5,9,0,1,0,0,0,0,1,3,10,4,2012,786,0,1820,17,2,Single,1,23,2
3267,Master,57288.0,27,527,0,21,0,0,60,3,8,1,8,6,0,1,0,0,0,0,0,2,6,2,2014,164,1,608,20,1,Together,3,51,1
999,Graduation,86037.0,95,490,44,125,29,20,22,1,6,7,11,3,0,1,1,0,0,0,1,4,2,1,2013,673,0,730,25,3,Single,1,23,0
9215,PhD,43974.0,19,378,0,101,0,0,72,5,6,4,6,7,0,0,0,0,0,0,0,2,12,4,2012,724,1,551,21,0,Together,3,34,1
2286,Graduation,50785.0,27,64,1,21,0,1,27,2,2,1,3,6,0,0,0,0,0,0,0,2,10,4,2013,423,2,114,8,0,Single,3,52,4
1592,Graduation,90765.0,25,547,99,812,151,82,33,0,4,6,5,1,0,0,1,1,0,0,0,4,1,1,2014,316,0,1724,15,2,Together,2,44,0
367,2n Cycle,36550.0,74,47,90,94,123,103,120,5,9,1,5,9,0,0,0,0,0,0,0,1,2,1,2013,655,1,577,20,0,Together,3,36,1
5234,2n Cycle,30753.0,85,12,5,25,0,9,30,2,1,1,3,5,0,0,0,0,0,0,0,3,11,4,2013,394,2,81,7,0,Together,4,47,3
9862,Graduation,21918.0,37,1,6,7,11,5,3,2,2,0,3,6,0,0,0,0,0,0,0,3,11,4,2013,387,1,33,7,0,Together,3,45,3
9805,Master,56129.0,65,320,48,133,39,72,48,4,6,2,10,4,0,0,0,0,0,0,0,3,6,2,2013,534,1,660,22,0,Together,3,61,1
6205,Master,32557.0,13,34,3,29,0,4,10,3,2,1,3,5,0,0,0,0,0,0,1,0,2,1,2014,285,1,80,9,1,Single,2,47,4
8442,Master,19510.0,63,9,0,7,3,4,7,2,1,0,3,7,0,0,0,0,0,0,0,1,4,2,2013,606,2,30,6,0,Together,4,29,3
7386,Graduation,30992.0,83,17,0,14,7,3,2,1,1,0,3,7,0,0,0,0,0,0,0,0,4,2,2013,593,1,43,5,0,Single,2,38,4
7215,Graduation,101970.0,69,722,27,102,44,72,168,0,6,8,13,2,0,1,1,1,0,0,1,1,12,4,2013,368,0,1135,27,4,Single,1,31,0
1491,2n Cycle,71488.0,87,162,33,124,40,28,172,2,3,4,7,1,0,0,0,0,0,0,0,0,2,1,2013,656,0,559,16,0,Together,2,49,2
11071,Graduation,79607.0,37,450,133,951,173,0,216,1,3,6,6,1,0,0,0,0,0,0,1,6,4,2,2013,594,0,1923,16,1,Single,1,30,0
3381,Master,54348.0,51,70,0,16,0,0,4,2,2,0,4,6,0,0,0,0,0,0,0,2,8,3,2014,122,2,90,8,0,Together,4,61,3
8268,PhD,51381.5,23,352,0,27,10,0,15,3,6,1,7,6,0,0,0,0,0,0,0,3,11,4,2013,394,1,404,17,0,Together,3,53,1
11051,PhD,77376.0,72,492,19,110,16,12,12,4,6,3,10,4,0,0,0,0,0,0,0,6,10,4,2014,62,2,661,23,0,Together,4,58,1
8026,Graduation,62998.0,10,120,58,73,65,89,58,5,5,4,5,5,0,0,0,0,0,0,0,0,9,3,2013,432,1,463,19,0,Together,3,62,1
433,Master,61331.0,42,534,5,47,0,5,41,5,11,1,6,8,0,0,0,0,0,0,0,3,10,4,2013,429,2,632,23,0,Single,3,56,1
9597,Graduation,73448.0,10,236,106,189,23,41,130,1,7,2,9,4,0,0,0,0,0,0,0,3,10,4,2014,65,0,725,19,0,Together,2,45,2
1295,Graduation,51381.5,96,231,65,196,38,71,124,1,6,5,7,4,0,0,0,0,0,0,0,4,11,4,2013,393,1,725,19,0,Together,3,51,1
5290,PhD,41551.0,51,220,0,33,3,0,23,5,5,1,5,8,0,0,0,0,0,0,0,2,8,3,2013,479,2,279,16,0,Together,4,50,3
1685,PhD,62981.0,21,796,14,590,38,44,0,1,4,5,13,3,0,1,0,0,0,0,0,6,3,1,2013,629,0,1482,23,1,Together,2,47,2
5342,Basic,9548.0,31,0,1,3,10,6,9,2,1,0,3,8,0,0,0,0,0,0,0,2,8,3,2012,850,1,29,6,0,Single,2,38,4
9579,PhD,33762.0,61,53,1,34,2,0,16,3,2,2,2,8,0,0,0,0,0,0,0,6,7,3,2013,517,3,106,9,0,Together,5,55,3
7660,PhD,35860.0,37,15,0,8,4,2,20,2,1,1,2,5,1,0,0,0,0,0,1,0,5,2,2014,201,2,49,6,2,Single,3,41,4
1461,PhD,36921.0,74,17,1,12,3,1,4,2,2,0,3,7,0,0,0,0,0,0,0,6,7,3,2013,496,2,38,7,0,Single,3,49,3
821,Master,92859.0,46,962,61,921,52,61,20,1,5,4,12,2,0,0,0,0,0,0,0,4,10,4,2012,778,0,2077,22,0,Single,1,22,0
11084,Master,65104.0,4,738,0,232,13,20,50,2,3,5,7,7,0,0,0,0,0,0,1,3,11,4,2013,387,1,1053,17,1,Together,3,38,1
8690,Graduation,86111.0,73,399,28,756,36,40,126,1,5,7,10,2,0,0,0,0,0,0,0,4,4,2,2013,596,0,1385,23,0,Together,2,52,2
2937,PhD,68352.0,47,614,16,132,43,33,33,3,8,5,9,6,0,0,0,0,0,0,0,2,8,3,2013,465,1,871,25,0,Single,2,40,2
9701,Graduation,41883.0,13,32,34,41,73,16,116,3,4,2,3,7,0,0,0,0,0,0,0,1,3,1,2013,627,1,312,12,0,Together,3,26,3
9949,Graduation,59809.0,36,598,16,141,32,41,49,3,3,3,6,8,0,0,0,0,0,0,0,3,10,4,2012,779,2,877,15,0,Together,4,38,1
10837,Graduation,23957.0,47,2,1,18,20,11,16,1,2,0,3,6,0,0,0,0,0,0,1,6,10,4,2012,769,1,68,6,1,Together,3,39,3
3120,Graduation,38547.0,49,6,1,10,0,1,4,1,1,0,2,8,0,0,0,0,0,1,0,2,8,3,2013,465,1,22,4,0,Together,3,33,3
5885,2n Cycle,35688.0,94,73,3,90,12,1,32,7,4,1,4,8,0,0,0,0,0,0,0,2,8,3,2012,836,3,211,16,0,Together,5,41,1
4050,Master,49605.0,65,42,16,29,12,20,8,1,2,1,4,3,0,0,0,0,0,0,0,5,6,2,2014,168,0,127,8,0,Together,2,48,4
3830,Master,59354.0,59,295,21,78,39,13,13,1,4,4,7,3,0,0,0,0,0,0,0,3,4,2,2014,226,2,459,16,0,Together,4,61,1
7987,Graduation,65747.0,96,346,17,48,23,13,13,4,8,1,6,6,0,1,0,0,0,0,0,3,7,3,2014,156,1,460,19,1,Together,3,45,1
7798,2n Cycle,46344.0,28,233,20,57,8,20,91,4,7,1,5,7,0,0,0,0,0,0,0,4,12,4,2012,722,1,429,17,0,Together,3,42,1
92,Graduation,34176.0,12,5,7,24,19,14,20,4,3,0,4,6,0,0,0,0,0,0,0,4,12,4,2014,1,1,89,11,0,Single,2,26,4
7055,PhD,61010.0,57,888,0,57,0,0,76,2,8,5,11,5,0,0,0,0,0,0,0,0,9,3,2012,817,1,1021,26,0,Together,3,62,1
10240,Graduation,69372.0,10,997,26,269,34,13,42,1,10,4,6,4,0,1,1,0,0,0,1,1,2,1,2013,655,0,1381,21,3,Together,2,65,0
3025,Graduation,49967.0,4,212,6,69,4,12,3,3,6,1,5,7,0,0,0,0,0,0,0,2,8,3,2013,486,1,306,15,0,Single,2,56,4
9283,Graduation,60199.0,49,8,1,7,2,0,0,1,0,0,3,4,0,0,0,0,0,0,0,0,12,4,2013,362,3,18,4,0,Single,4,36,3
9970,Graduation,55375.0,3,42,11,57,10,28,14,1,1,1,6,2,0,0,0,0,0,0,0,3,10,4,2013,415,1,162,9,0,Together,3,37,3
2730,Graduation,80317.0,64,536,11,387,149,91,57,1,3,4,10,1,0,0,0,0,0,0,0,1,8,3,2013,473,0,1231,18,0,Single,1,59,0
2795,Master,30523.0,0,5,0,3,0,0,5,1,1,0,2,7,0,0,0,0,0,0,0,0,1,1,2013,698,3,13,4,0,Single,4,56,3
9260,PhD,70356.0,20,1349,16,249,43,16,33,2,10,6,9,6,0,0,0,0,0,0,0,4,5,2,2012,939,0,1706,27,0,Together,2,69,2
8182,Graduation,23228.0,91,53,3,49,7,4,5,4,3,0,4,8,0,0,0,0,0,0,0,3,5,2,2014,219,1,121,11,0,Together,3,30,3
10095,PhD,74165.0,9,1001,12,240,16,12,12,1,5,4,10,2,0,0,0,0,0,0,0,5,1,1,2013,700,0,1293,20,0,Single,1,39,2
8475,PhD,157243.0,98,20,2,1582,1,2,1,15,0,22,0,0,0,0,0,0,0,0,0,4,1,1,2014,337,1,1608,37,0,Together,3,41,2
4370,Graduation,43482.0,83,18,1,32,6,3,28,3,2,0,4,6,0,0,0,0,0,0,0,2,11,4,2013,388,3,88,9,0,Together,5,48,3
10573,Graduation,62551.0,27,125,16,98,134,21,27,1,6,7,4,3,1,0,0,0,0,0,0,0,11,4,2013,383,0,421,18,1,Single,1,61,2
3712,Graduation,52332.0,63,212,5,33,7,0,2,1,3,2,6,4,0,1,0,0,0,0,0,2,8,3,2013,465,0,259,12,1,Single,1,55,4
6637,Graduation,66951.0,46,277,162,305,173,76,124,1,3,4,7,1,0,0,0,0,0,0,0,0,2,1,2013,663,0,1117,15,0,Single,1,26,0
3152,Graduation,26091.0,84,15,10,19,8,17,20,3,2,1,3,5,0,0,0,0,0,0,0,1,2,1,2014,284,2,89,9,0,Together,4,57,3
